Hours_Studied,Result
4.1,Fail
9.5,Pass
7.5,Pass
6.2,Pass
2.0,Fail
2.0,Fail
1.1,Fail
8.7,Pass
6.2,Pass
7.2,Pass
0.7,Fail
9.7,Pass
8.4,Pass
2.5,Fail
2.2,Fail
2.2,Fail
3.4,Fail
5.5,Pass
4.6,Fail
3.3,Fail
6.3,Pass
1.8,Fail
3.3,Fail
4.0,Fail
4.8,Fail
8.0,Pass
2.4,Fail
5.4,Pass
6.1,Pass
0.9,Fail
6.3,Pass
2.1,Fail
1.1,Fail
9.5,Pass
9.7,Pass
8.2,Pass
3.4,Fail
1.4,Fail
7.0,Pass
4.7,Fail
1.7,Fail
5.2,Pass
0.8,Fail
9.1,Pass
3.0,Fail
6.8,Pass
3.5,Fail
5.4,Pass
5.7,Pass
2.3,Fail
9.7,Pass
7.9,Pass
9.4,Pass
9.0,Pass
6.2,Pass
9.3,Pass
1.3,Fail
2.4,Fail
0.9,Fail
3.6,Fail
4.2,Fail
3.1,Fail
8.4,Pass
3.9,Fail
3.2,Fail
5.7,Pass
1.8,Fail
8.1,Pass
1.2,Fail
9.9,Pass
7.8,Pass
2.4,Fail
0.6,Fail
8.2,Pass
7.2,Pass
7.4,Pass
7.8,Pass
1.2,Fail
3.9,Fail
1.6,Fail
8.7,Pass
6.4,Pass
3.6,Fail
1.1,Fail
3.5,Fail
3.6,Fail
7.4,Pass
6.6,Pass
8.9,Pass
5.0,Pass
1.6,Fail
7.3,Pass
7.7,Pass
5.8,Pass
7.8,Pass
5.2,Pass
5.5,Pass
4.6,Fail
0.7,Fail
1.5,Fail
